,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
31,spatial,25,GAT,0.5549234979071465,0.014490560733465519,0.5688304420817012,0.023245180845622413
32,spatial,25,TransformerConv,0.581997561812163,0.01803940995580745,0.589759373251259,0.01888538619831515
33,temporal,5,GCN,0.5423662504493826,0.003998020286313107,0.5484051482932288,0.003587536748701656
34,temporal,5,GAT,0.5858402673128713,0.021311845519503568,0.5881365416899832,0.020958386545220288
35,temporal,5,TransformerConv,0.619911067570863,0.00538023263089548,0.6369893676552881,0.0072652858946245106
36,temporal,7,GCN,0.5634775723685914,0.001613082122103763,0.56552881925014,0.0025113380718877337
37,temporal,7,GAT,0.5808085132624414,0.03428261815042797,0.5824286513710129,0.03262052669951392
38,temporal,7,TransformerConv,0.6183903624803708,0.009073661640344722,0.6299944040290991,0.00891253896466119
39,temporal,9,GCN,0.5638688993318943,0.0018975176789010014,0.5653049804141019,0.0026342702397179605
40,temporal,9,GAT,0.5857715035279722,0.046684177098615144,0.5868494683827643,0.047082239169460804
41,temporal,9,TransformerConv,0.6311590160831366,0.016281002605709697,0.6418019026301064,0.013551495962357402
42,temporal,11,GCN,0.558706124101951,0.0033057238972243295,0.5616675993284835,0.004197351223861009
43,temporal,11,GAT,0.5951703022277017,0.013439022091699006,0.5975377728035814,0.01483153999327224
44,temporal,11,TransformerConv,0.6312204365432559,0.010280338257928638,0.6384443200895356,0.012165800328327895
45,temporal,13,GCN,0.5211760475840774,0.07291870878644376,0.5477895914941242,0.022063601157727573
46,temporal,13,GAT,0.5984687552892879,0.00995063160886487,0.5986569669837717,0.010051896593199014
47,temporal,13,TransformerConv,0.6281464923740815,0.016450285269117126,0.6340794627867934,0.01957982158514566
48,temporal,15,GCN,0.5407189992570338,0.06033432134792844,0.5436485730274202,0.05862911291429446
49,temporal,15,GAT,0.599520085853049,0.00239629086663912,0.6001119194180191,0.002275847723297464
50,temporal,15,TransformerConv,0.6260004227862555,0.019613658573620175,0.62988248461108,0.02132600942829787
51,temporal,17,GCN,0.5438453801709694,0.049323287574006766,0.5504196978175713,0.04978445691632095
52,temporal,17,GAT,0.5934594497314849,0.01684970348329923,0.5945719082260773,0.017992591146706722
53,temporal,17,TransformerConv,0.6365614813735331,0.0059569837720281306,0.6438164521544488,0.006016644680790453
54,temporal,19,GCN,0.5710496574319515,0.000886322563273763,0.5716284275321769,0.0012131775819070678
55,temporal,19,GAT,0.6088383817512377,0.014320650744309011,0.6109681029658646,0.014808296694248815
56,temporal,19,TransformerConv,0.6347262085864379,0.011114567022211837,0.6412423055400112,0.013270122616224529
57,temporal,21,GCN,0.56145944473671,0.002865989953570921,0.5622271964185785,0.0033882205938937865
58,temporal,21,GAT,0.6082656932898071,0.011987946205858942,0.6120313374370452,0.013288045024854634
59,temporal,21,TransformerConv,0.6307596346246731,0.011015381897553212,0.6377168438724119,0.01286026678411944
