,Unnamed: 0,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
40,40.0,temporal,9,GAT,0.5857715035279722,0.0466841770986151,0.5868494683827643,0.0470822391694608
41,41.0,temporal,9,TransformerConv,0.6311590160831366,0.0162810026057096,0.6418019026301064,0.0135514959623574
42,42.0,temporal,11,GCN,0.558706124101951,0.0033057238972243,0.5616675993284835,0.004197351223861
43,43.0,temporal,11,GAT,0.5951703022277017,0.013439022091699,0.5975377728035814,0.0148315399932722
44,44.0,temporal,11,TransformerConv,0.6312204365432559,0.0102803382579286,0.6384443200895356,0.0121658003283278
45,45.0,temporal,13,GCN,0.5211760475840774,0.0729187087864437,0.5477895914941242,0.0220636011577275
46,46.0,temporal,13,GAT,0.5984687552892879,0.0099506316088648,0.5986569669837717,0.010051896593199
47,47.0,temporal,13,TransformerConv,0.6281464923740815,0.0164502852691171,0.6340794627867934,0.0195798215851456
48,48.0,temporal,15,GCN,0.5407189992570338,0.0603343213479284,0.5436485730274202,0.0586291129142944
49,49.0,temporal,15,GAT,0.599520085853049,0.0023962908666391,0.6001119194180191,0.0022758477232974
50,50.0,temporal,15,TransformerConv,0.6260004227862555,0.0196136585736201,0.62988248461108,0.0213260094282978
51,51.0,temporal,17,GCN,0.5438453801709694,0.0493232875740067,0.5504196978175713,0.0497844569163209
52,52.0,temporal,17,GAT,0.5934594497314849,0.0168497034832992,0.5945719082260773,0.0179925911467067
53,53.0,temporal,17,TransformerConv,0.6365614813735331,0.0059569837720281,0.6438164521544488,0.0060166446807904
54,54.0,temporal,19,GCN,0.5710496574319515,0.0008863225632737,0.5716284275321769,0.001213177581907
55,55.0,temporal,19,GAT,0.6088383817512377,0.014320650744309,0.6109681029658646,0.0148082966942488
56,56.0,temporal,19,TransformerConv,0.6347262085864379,0.0111145670222118,0.6412423055400112,0.0132701226162245
57,57.0,temporal,21,GCN,0.56145944473671,0.0028659899535709,0.5622271964185785,0.0033882205938937
58,58.0,temporal,21,GAT,0.6082656932898071,0.0119879462058589,0.6120313374370452,0.0132880450248546
59,59.0,temporal,21,TransformerConv,0.6307596346246731,0.0110153818975532,0.6377168438724119,0.0128602667841194
60,60.0,temporal,23,GCN,0.5545982718260568,0.0018415345442723,0.5564633463905988,0.0024736470179407
61,61.0,temporal,23,GAT,0.6091332446646079,0.0143634925700563,0.6113038612199216,0.0150003337608261
62,62.0,temporal,23,TransformerConv,0.6414025287959021,0.0110568285422037,0.6479015109121432,0.0122455903821299
63,63.0,temporal,25,GCN,0.5463389268380486,0.0029305641953059,0.5580861779518747,0.0028730828546152
64,64.0,temporal,25,GAT,0.5994214740458287,0.0513584507190574,0.604141018466704,0.0494075112852874
65,65.0,temporal,25,TransformerConv,0.6432193892610661,0.0062698581945311,0.6498041410184667,0.0063695817683859
66,66.0,combined,5,GCN,0.5079384303376719,0.073978772578879,0.5135982092893118,0.072393265494361
67,67.0,combined,5,GAT,0.5614402569676165,0.0060591852324323,0.5726916620033575,0.0057106327831265
68,68.0,combined,5,TransformerConv,0.5882167637295046,0.0106664218931656,0.589199776161164,0.0099419474862624
69,69.0,combined,7,GCN,0.5827003525095822,0.0018720642481658,0.5864017907106882,0.0023436364399968
70,70.0,combined,7,GAT,0.5318768213338403,0.0214560689057862,0.5425293788472301,0.0202075770400311
71,71.0,combined,7,TransformerConv,0.5819656762680476,0.0333582858947269,0.5848908785674315,0.0286722390079246
72,72.0,combined,9,GCN,0.5561788874938568,0.0696185633330328,0.5659764969222161,0.0658941672202612
73,73.0,combined,9,GAT,0.5551991743747884,0.0113078540292178,0.5687185226636822,0.0102172069757378
74,74.0,combined,9,TransformerConv,0.5898351476522582,0.0225536944149957,0.5946838276440962,0.0183242201195923
75,75.0,combined,11,GCN,0.5936182914498135,0.0051134458573191,0.5988808058198097,0.0051061509656498
76,76.0,combined,11,GAT,0.5549803193753626,0.0255134006946411,0.5708449916060437,0.0172419482601198
77,77.0,combined,11,TransformerConv,0.6046658906846267,0.0157067778325189,0.6078343592613318,0.0125524500459359
78,78.0,combined,13,GCN,0.5170153692884348,0.0887842995348914,0.5255176273083381,0.0822008697379817
79,79.0,combined,13,GAT,0.5479495375206431,0.0088038274849603,0.572076105204253,0.0158580376540817
80,80.0,combined,13,TransformerConv,0.5913312322634177,0.0286598065581741,0.5949076664801343,0.0234439793132013
81,81.0,combined,15,GCN,0.5167848741993499,0.0914213294825552,0.5206491326245104,0.0899412673302936
82,82.0,combined,15,GAT,0.5570363862100378,0.0466456270882348,0.5733631785114717,0.0321870011426157
83,83.0,combined,15,TransformerConv,0.5440853511787433,0.0451885022323906,0.5563514269725797,0.0386116315051977
84,84.0,combined,17,GCN,0.5893657064925392,0.0006287689057215,0.593788472299944,0.000371194716324
85,85.0,combined,17,GAT,0.5609308897736867,0.0411877711687929,0.5719082260772244,0.0326701197091965
86,86.0,combined,17,TransformerConv,0.6102922477955206,0.0412744996707446,0.6122551762730835,0.0392645795393477
87,87.0,combined,19,GCN,0.5815799983312666,0.0008656986997615,0.5875769445998881,0.000791389794277
88,88.0,combined,19,GAT,0.5682625022451414,0.0374668853744993,0.5770565193060996,0.031469364158649
89,89.0,combined,19,TransformerConv,0.6108574422771144,0.0344964644925697,0.6113598209289312,0.0347193805840969
90,90.0,combined,21,GCN,0.5873786730691841,0.002042423236202,0.5923894795747062,0.0029206465250587
91,91.0,combined,21,GAT,0.5540042983702452,0.0372278216983534,0.5686066032456633,0.0284908019903292
92,92.0,combined,21,TransformerConv,0.6111933067011404,0.030742820649753,0.6135422495803022,0.0277637992949204
93,93.0,combined,23,GCN,0.5465618848977853,0.0699966466243625,0.5564073866815893,0.0747912763481287
