,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
38,spatial,29,TransformerConv,0.5716693459552642,0.04926066955912266,0.57474096891627,0.046483756328312385
39,spatial,31,RGCN,0.5592171236223956,0.03507721189608321,0.5686362363483617,0.025125179259490305
40,spatial,31,GAT,0.5472123944692657,0.06342608545725484,0.5845701484178101,0.021245029484733946
41,spatial,31,TransformerConv,0.5853253207963591,0.020401323426167746,0.5861103332399887,0.019873312304767226
42,spatial,33,RGCN,0.5999867897707085,0.02007262054171945,0.6046765611873426,0.020640604306952352
43,spatial,33,GAT,0.48258067825852047,0.09766183845918107,0.5609633155978717,0.04408902990793334
44,spatial,33,TransformerConv,0.5863876288397056,0.026895246929835706,0.5870064407728928,0.027207048112076682
45,spatial,35,RGCN,0.5939552302625823,0.020898145559458653,0.5995239428731448,0.020266947226486396
46,spatial,35,GAT,0.5693992532454855,0.006123938266762358,0.5932511901428171,0.016840826082396298
47,spatial,35,TransformerConv,0.5804954352813525,0.0266694419709402,0.5816858022962755,0.026355551248591444
48,temporal,5,RGCN,0.6222409640398502,0.01727074449247004,0.6349761971436572,0.02177475112880053
49,temporal,5,GAT,0.5703785274598314,0.006838737863131549,0.5721926631195743,0.008600314798564664
50,temporal,5,TransformerConv,0.6254457604973583,0.008877803208089166,0.6384766171940633,0.012093432025589003
51,temporal,7,RGCN,0.6176981786449692,0.003754373916467443,0.6323438812657519,0.004738198370944922
52,temporal,7,GAT,0.5897555393782998,0.008925203714834008,0.5926351162139458,0.009454234740367794
53,temporal,7,TransformerConv,0.6249399190667685,0.015740746535878113,0.64284514141697,0.004480887692852322
54,temporal,9,RGCN,0.6255674908515749,0.007483336254010193,0.6363763651638197,0.005978897792884261
55,temporal,9,GAT,0.5949131190035363,0.006851488262453915,0.5961075329039485,0.007524571202793748
56,temporal,9,TransformerConv,0.6393348602404997,0.006966136506985988,0.6504060487258471,0.006007618283052525
57,temporal,11,RGCN,0.6307931900205033,0.012386728589193515,0.6358162979557547,0.013964807230807404
58,temporal,11,GAT,0.5644688799714346,0.05361268542013742,0.5672640716886026,0.049065379730421084
59,temporal,11,TransformerConv,0.6249783016770196,0.008741220859022408,0.6315317838140576,0.009371549549628239
60,temporal,13,RGCN,0.6361818702936188,0.00936803530156894,0.6403248389806777,0.010850859513469457
61,temporal,13,GAT,0.5774163185378174,0.04450120855656885,0.5785214225707085,0.04458262502239345
62,temporal,13,TransformerConv,0.6348189303523242,0.01793306162096044,0.6409129095491458,0.020404459808578496
63,temporal,15,RGCN,0.6322574226471651,0.009363906366605813,0.6354802576309156,0.010415631470475207
64,temporal,15,GAT,0.5903284696569658,0.012014735624188068,0.590870904508541,0.011740724028747575
65,temporal,15,TransformerConv,0.6391428153586772,0.008043536219499273,0.645673480817698,0.009370921947078052
66,temporal,17,RGCN,0.6323998031665722,0.00819220197407889,0.6351442173060767,0.00907797075926378
67,temporal,17,GAT,0.5808634330248529,0.011775699985383468,0.5826939232707925,0.01209913696424929
68,temporal,17,TransformerConv,0.6338909323700753,0.0193897922469588,0.6391486978437412,0.022052784111440703
69,temporal,19,RGCN,0.6269277248388627,0.010034908909789414,0.6286754410529263,0.01151002838715487
70,temporal,19,GAT,0.5688346729376331,0.025387212514117578,0.5728647437692523,0.02229674262256024
71,temporal,19,TransformerConv,0.6211858752713773,0.026595642342274163,0.6295995519462336,0.02479619687527131
72,temporal,21,RGCN,0.6377430829248857,0.008700606299089177,0.6418930271632596,0.010743075985100011
73,temporal,21,GAT,0.5780384288585034,0.01077549869903307,0.5814337720526462,0.008392649627023418
74,temporal,21,TransformerConv,0.6295884318334327,0.02374921892746064,0.6354802576309158,0.026044043548605105
75,temporal,23,RGCN,0.6356306456963436,0.00977932326817734,0.6409129095491459,0.011249581099561671
76,temporal,23,GAT,0.5607055805951069,0.056765853797995994,0.5734248109773172,0.03731410733456918
77,temporal,23,TransformerConv,0.6271741568207274,0.025710294231220635,0.6311397367684122,0.027106558563260868
78,temporal,25,RGCN,0.6289950823862998,0.009631380448378406,0.63405208625035,0.010559754941102477
79,temporal,25,GAT,0.563062155871989,0.0708451334610992,0.5870344441332959,0.024778480354938567
80,temporal,25,TransformerConv,0.6290139847841073,0.027136521969609233,0.6322038644637356,0.028313931683014108
81,temporal,27,RGCN,0.6304327327644514,0.010441310017862323,0.6350322038644637,0.010755660209792746
82,temporal,27,GAT,0.5618546223323493,0.04179585835572104,0.574404928591431,0.028371370723519092
83,temporal,27,TransformerConv,0.6420334608872389,0.0042907350712122865,0.6472696723606834,0.0051501826637121925
84,temporal,29,RGCN,0.6453349345810928,0.005120055442569452,0.652198263791655,0.007010914062519682
85,temporal,29,GAT,0.5336269059323846,0.07028741781896167,0.5580509661159339,0.03935120844302967
86,temporal,29,TransformerConv,0.6283074424029712,0.031693315870205636,0.632819938392607,0.033521975796559245
87,temporal,31,RGCN,0.6323406699394708,0.005955248349482173,0.6390366844021284,0.0067754244789088305
88,temporal,31,GAT,0.5631098478337753,0.015852037470071544,0.570232427891347,0.01088394472398834
89,temporal,31,TransformerConv,0.629441510498089,0.015251770490097656,0.6358443013161579,0.01614422264678022
90,temporal,33,RGCN,0.6392529890586489,0.010810165181573534,0.644973396807617,0.011949792188641608
91,temporal,33,GAT,0.5283631815219432,0.044404531102047694,0.5483618034164099,0.04231006584990495
